0.3141592654	0.6283185307	5739044800525518798902908567739239423552035749888.0000000000
0.3141592654	1.2566370614	5747083278784257172313964226466719855295714033664.0000000000
0.3141592654	1.8849555922	5739044817790159627040171322303484146216945582080.0000000000
0.3141592654	2.5132741229	5739828679727915142073513122430801433774042120192.0000000000
0.3141592654	3.1415926536	5739044800661357073167467460743040003268927291392.0000000000
0.3141592654	3.7699111843	5740617364075995506695373533240192945000401600512.0000000000
0.3141592654	4.3982297150	5739043559289975955424955081178797200491537235968.0000000000
0.3141592654	5.0265482457	5739165988733069624324349095074718736577193836544.0000000000
0.3141592654	5.6548667765	5739837797104507641548612187020855152450776072192.0000000000
0.3141592654	6.2831853072	5739227987856625746631828531617251735213164199936.0000000000
0.6283185307	0.6283185307	6076597264614490398389789863316494317967957295104.0000000000
0.6283185307	1.2566370614	5741127471690544578809872906782631599365186125824.0000000000
0.6283185307	1.8849555922	5738717703177846096546533753878581995389119889408.0000000000
0.6283185307	2.5132741229	5738562862073408296719254626838857071376868573184.0000000000
0.6283185307	3.1415926536	5745468432436725164889576253565412099310191902720.0000000000
0.6283185307	3.7699111843	5739033620032874062022285494968168770859217977344.0000000000
0.6283185307	4.3982297150	5734572547063173009073169061312633045169402281984.0000000000
0.6283185307	5.0265482457	5739044811799427054640760327997514238651646607360.0000000000
0.6283185307	5.6548667765	5756984148381946198283718239954337587486810701824.0000000000
0.6283185307	6.2831853072	5740189703853330551531844372900883201648299606016.0000000000
0.9424777961	0.6283185307	5739045047264287846492887928834093505447137902592.0000000000
0.9424777961	1.2566370614	5749802478735479296459544636605079397032714567680.0000000000
0.9424777961	1.8849555922	5735542949248964677454735892435193495212731138048.0000000000
0.9424777961	2.5132741229	5753755267226561783402125670231826982654032478208.0000000000
0.9424777961	3.1415926536	5738562494668861956830275216781710915705740722176.0000000000
0.9424777961	3.7699111843	5739044906419955325195309127590056434296049106944.0000000000
0.9424777961	4.3982297150	5735900005306158798890081118230140320176404430848.0000000000
0.9424777961	5.0265482457	5739048028119556871639716978105391454274556264448.0000000000
0.9424777961	5.6548667765	5739065327289881496459518929971734013799829602304.0000000000
0.9424777961	6.2831853072	5748418417429542567205640985902498690656743981056.0000000000
1.2566370614	0.6283185307	5829610142396474777239000155241000269332164378624.0000000000
